ids,ldcgrn,othssame,chemgen,natchld,natpark,sex,nukegen,harmgood,topprob1,drivless,grnmoney,topprob2,peopgrn,natsci,grngroup,redcehme,grntaxes,grncon,govdook,knowsol,chemfree,ihlpgrn,tempgen1,recycle,grndemo,impgrn,scigrn,h2oless,carsgen,indusgen,grnprice,grwthelp,nobuygrn,grneffme,helpharm,grnprog,toodifme,grnsign,harmsgrn,grnexagg,popgrwth,watergen,natenrgy,busgrn,natsoc,privent,grnsol,natroad,age,usdoenuf,grwtharm,econgrn,race,polgreed,polviews,grnintl,knwcause,grnecon,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters
559,3,5,1,1,2,Female,1,3,Crime,2,0,Health care,Heavy fines for people who damage the environment,3,0,3,5,4,3,4,2,2,2,2,0,3,2,2,2,1,4,5,2,3,5,5,2,0,5,3,5,1,1,Use the tax system to reward businesses that protect the environment,1,3,2,3,29,1,5,5,Black,5,7,3,2,5,0,1,3,0,0,6,7,2
1569,2,3,2,1,1,Male,2,3,Education,2,1,The environment,Use the tax system to reward people who protect the environment,2,1,2,3,4,3,3,3,4,2,3,1,2,3,3,3,2,2,2,3,4,3,2,2,1,2,2,4,2,1,Heavy fines for businesses that damage the environment,1,3,3,2,23,1,2,4,Other,3,6,4,3,2,0,1,3,0,0,0,2,8
746,1,4,1,1,2,Female,2,4,Health care,3,0,Education,More information and education for people about the advantages of protecting the environment,2,0,2,5,5,4,3,2,4,3,2,0,3,3,2,2,2,5,4,3,3,3,4,3,0,3,3,3,2,2,More information and education for businesses about the advantages of protecting the environment,2,3,5,3,52,2,3,3,White,4,4,4,3,4,1,0,2,2,2,2,4,5
747,1,2,1,1,1,Female,3,2,Health care,2,1,The economy,Use the tax system to reward people who protect the environment,1,0,1,2,5,1,3,3,3,1,4,0,2,1,1,1,2,2,3,2,3,2,3,2,1,2,1,5,1,1,Use the tax system to reward businesses that protect the environment,1,2,2,1,60,1,2,5,White,5,6,5,4,2,1,0,2,4,5,3,3,3
749,2,2,3,2,2,Male,3,2,Education,3,1,The economy,More information and education for people about the advantages of protecting the environment,1,0,2,2,3,2,3,2,4,4,3,0,2,2,1,3,2,2,2,2,4,1,4,2,0,3,4,4,3,2,Use the tax system to reward businesses that protect the environment,2,4,3,2,36,2,3,3,Other,3,4,4,3,3,0,1,0,3,4,6,6,4
556,4,2,2,2,2,Male,4,1,The economy,2,0,Terrorism,More information and education for people about the advantages of protecting the environment,3,0,2,2,3,1,3,3,4,5,3,0,4,4,3,3,3,2,4,3,4,2,4,2,0,3,4,4,2,2,Use the tax system to reward businesses that protect the environment,1,5,2,2,24,1,4,2,White,5,3,4,4,4,0,1,3,0,0,0,2,8
551,2,2,3,2,2,Male,4,2,The economy,1,0,Terrorism,NaN,1,0,1,4,4,2,3,2,4,4,2,0,3,2,1,3,2,4,3,1,2,2,3,2,0,2,4,2,2,2,Heavy fines for businesses that damage the environment,3,5,4,2,48,2,2,3,White,4,2,2,4,2,0,0,0,2,2,2,4,0
552,4,2,3,2,2,Female,3,5,The economy,NaN,0,Health care,Use the tax system to reward people who protect the environment,2,0,3,4,3,5,1,3,4,2,2,0,3,4,3,3,3,2,3,2,2,4,4,4,0,4,4,4,4,2,Use the tax system to reward businesses that protect the environment,2,3,3,1,29,2,3,3,White,4,4,4,2,4,0,1,3,0,0,6,7,2
285,2,3,2,1,1,Female,2,3,The economy,2,0,Terrorism,More information and education for people about the advantages of protecting the environment,2,0,3,4,3,2,2,2,4,2,3,0,3,2,1,3,2,4,4,2,3,3,3,2,0,3,2,3,2,1,More information and education for businesses about the advantages of protecting the environment,1,2,4,1,48,2,2,3,Black,3,4,4,2,2,0,0,0,2,2,2,4,0
239,1,2,2,1,1,Female,3,3,The economy,1,0,Education,More information and education for people about the advantages of protecting the environment,2,0,1,NaN,4,1,3,3,2,3,1,0,2,3,1,1,2,NaN,2,1,2,4,2,4,0,4,2,2,2,1,More information and education for businesses about the advantages of protecting the environment,1,2,4,1,35,2,3,2,White,4,4,5,3,2,0,1,0,3,4,6,6,4
234,2,2,2,1,3,Female,2,3,The economy,1,0,Education,Use the tax system to reward people who protect the environment,1,0,2,4,4,4,2,2,3,2,3,0,3,2,1,1,1,2,3,2,3,3,4,1,0,4,2,3,2,1,Use the tax system to reward businesses that protect the environment,1,3,4,3,29,2,2,3,White,2,4,3,2,2,0,1,3,0,0,6,7,2
230,3,3,3,2,2,Male,3,2,The economy,2,0,The environment,More information and education for people about the advantages of protecting the environment,1,0,4,2,4,4,2,2,4,3,4,0,4,2,2,1,3,2,4,2,4,3,2,4,0,2,2,2,3,1,More information and education for businesses about the advantages of protecting the environment,2,5,2,1,75,1,2,4,Other,3,4,5,4,3,1,2,1,1,1,4,5,6
231,4,2,3,1,2,Male,2,1,The environment,3,0,Education,Use the tax system to reward people who protect the environment,1,0,3,2,5,2,4,4,4,2,4,0,2,2,1,2,2,2,2,4,4,2,2,2,0,2,2,4,2,1,Use the tax system to reward businesses that protect the environment,2,2,2,1,66,1,2,4,White,4,4,4,4,2,1,2,1,4,3,1,1,6
233,2,4,3,2,3,Male,3,2,Terrorism,1,0,The economy,More information and education for people about the advantages of protecting the environment,1,0,2,5,3,1,3,3,4,4,4,0,4,2,1,3,3,4,2,2,2,4,2,4,1,4,4,2,2,2,Heavy fines for businesses that damage the environment,2,4,5,1,79,2,2,2,White,4,1,5,3,4,1,2,1,1,1,4,5,1
1199,1,1,1,1,2,Female,1,4,Crime,2,0,Health care,Use the tax system to reward people who protect the environment,2,0,2,4,4,2,2,2,4,1,4,0,1,2,2,1,1,4,3,2,4,1,2,2,0,4,1,3,1,1,Use the tax system to reward businesses that protect the environment,1,3,4,1,29,1,3,3,Black,2,6,5,3,2,0,1,3,0,0,6,7,2
1053,3,3,1,1,2,Female,1,2,The economy,3,0,Health care,Use the tax system to reward people who protect the environment,1,0,4,3,5,2,4,2,4,1,4,0,2,3,1,1,1,3,3,3,3,4,2,4,0,3,1,2,1,1,Heavy fines for businesses that damage the environment,2,4,4,2,66,1,2,4,White,3,4,4,4,1,1,2,1,4,3,1,1,6
1054,2,2,2,2,1,Female,1,2,Education,2,0,The environment,Use the tax system to reward people who protect the environment,2,0,3,2,4,3,3,3,3,1,2,0,2,4,2,2,2,2,2,3,3,2,2,2,0,4,2,4,2,1,Use the tax system to reward businesses that protect the environment,1,NaN,3,3,23,1,3,4,White,4,5,NaN,3,2,0,1,3,0,0,0,2,8
1056,2,2,2,1,1,Female,2,2,Education,1,0,Crime,Heavy fines for people who damage the environment,1,0,3,2,4,4,2,1,2,3,1,0,3,2,1,3,2,2,2,2,4,2,2,2,0,4,2,3,2,1,Heavy fines for businesses that damage the environment,1,2,2,1,52,1,2,2,Black,2,4,4,3,2,1,0,2,2,2,2,4,5
1058,2,1,4,2,2,Male,4,1,Terrorism,1,0,Crime,Use the tax system to reward people who protect the environment,1,0,3,2,3,4,3,1,2,3,2,0,4,3,1,3,3,2,5,1,2,5,2,1,0,4,5,2,2,2,Use the tax system to reward businesses that protect the environment,1,4,2,1,43,2,3,2,White,1,3,1,3,5,0,0,0,3,4,5,0,0
1059,2,2,3,1,2,Female,2,2,Education,1,0,Poverty,Use the tax system to reward people who protect the environment,2,0,1,2,4,2,2,2,2,3,2,0,3,3,2,2,2,2,3,2,3,4,2,2,0,4,2,2,3,1,Use the tax system to reward businesses that protect the environment,2,3,4,2,34,1,2,3,White,3,1,4,2,1,0,1,0,3,4,6,6,4
1192,3,4,2,2,3,Female,3,3,Health care,2,0,Education,Use the tax system to reward people who protect the environment,2,0,2,3,4,3,2,4,4,2,3,0,3,3,2,3,2,2,4,3,3,3,3,4,0,4,3,3,2,2,More information and education for businesses about the advantages of protecting the environment,2,3,3,3,21,1,3,4,Black,3,4,4,3,3,0,1,3,0,0,0,2,8
1195,5,2,1,2,1,Female,1,2,The environment,2,0,Terrorism,More information and education for people about the advantages of protecting the environment,1,0,3,1,5,4,5,4,4,1,4,0,2,4,3,1,1,1,4,2,4,2,2,2,0,4,2,2,1,2,Heavy fines for businesses that damage the environment,1,1,1,1,37,3,4,5,Black,2,1,5,5,2,0,1,0,3,4,5,6,4
1697,4,2,2,1,2,Female,3,3,Terrorism,NaN,0,The economy,Use the tax system to reward people who protect the environment,2,0,4,4,5,2,2,NaN,2,3,NaN,0,2,2,3,3,2,2,2,1,3,3,3,2,0,2,4,4,3,1,More information and education for businesses about the advantages of protecting the environment,NaN,4,2,1,47,2,2,3,White,5,2,4,2,3,0,0,0,2,2,2,0,0
1694,2,1,2,1,2,Male,5,1,Health care,1,0,The economy,More information and education for people about the advantages of protecting the environment,1,0,3,1,5,1,2,1,4,1,2,0,2,1,2,1,1,2,3,3,3,2,2,1,0,4,1,2,1,1,Use the tax system to reward businesses that protect the environment,3,4,2,1,76,1,1,5,White,3,5,5,4,1,1,2,1,1,1,4,5,6
1692,2,4,2,1,1,Male,3,3,The economy,2,0,Education,Use the tax system to reward people who protect the environment,2,0,2,3,5,2,3,3,3,4,2,0,2,2,2,3,2,2,4,3,4,3,3,4,0,2,4,4,2,1,Use the tax system to reward businesses that protect the environment,2,5,3,1,61,1,2,4,White,4,2,4,5,3,1,2,2,4,5,3,3,3
1758,3,4,3,2,2,Female,3,4,Health care,2,0,Immigration,More information and education for people about the advantages of protecting the environment,3,0,2,5,5,1,3,2,3,3,3,0,3,4,1,3,2,5,3,2,3,3,NaN,4,0,3,NaN,NaN,3,1,Heavy fines for businesses that damage the environment,1,1,5,2,58,1,NaN,4,Black,3,6,3,4,3,1,0,2,4,5,3,3,3
1757,4,3,3,NaN,1,Male,3,3,Health care,1,0,Education,Heavy fines for people who damage the environment,1,0,1,5,3,2,3,1,3,3,1,0,3,3,1,3,3,3,3,1,3,3,3,3,0,3,4,3,3,1,Heavy fines for businesses that damage the environment,1,3,5,1,52,1,3,4,White,4,4,5,3,3,1,0,2,2,2,2,4,5
1756,2,2,3,1,2,Male,3,4,The economy,2,0,Terrorism,Heavy fines for people who damage the environment,3,0,1,2,3,1,2,2,4,5,1,0,2,2,2,3,2,2,3,2,2,3,3,3,0,4,4,4,3,2,Heavy fines for businesses that damage the environment,3,5,5,2,62,3,2,2,White,5,1,3,3,4,1,2,2,4,5,3,3,7
155,4,2,2,2,1,Male,1,2,Education,1,0,Health care,More information and education for people about the advantages of protecting the environment,2,1,2,2,5,3,2,1,2,1,3,0,2,2,2,2,2,2,4,2,4,4,4,2,0,4,2,4,1,1,More information and education for businesses about the advantages of protecting the environment,2,3,2,2,36,2,4,4,White,4,6,4,3,4,0,1,0,3,4,6,6,4
1752,2,2,3,3,3,Male,3,1,The economy,1,0,Education,Use the tax system to reward people who protect the environment,2,0,2,3,4,1,2,2,3,3,2,0,3,2,3,3,2,3,1,3,3,3,2,1,0,2,2,4,3,1,Use the tax system to reward businesses that protect the environment,1,4,4,1,42,1,2,3,White,5,1,4,3,2,0,0,0,3,4,5,0,0
1698,2,2,2,2,3,Female,3,2,NaN,2,1,NaN,Use the tax system to reward people who protect the environment,1,0,2,2,4,2,3,2,4,3,4,0,3,NaN,1,2,2,4,4,2,4,2,3,2,NaN,3,3,2,3,2,Use the tax system to reward businesses that protect the environment,1,3,2,2,48,2,2,4,White,4,4,NaN,3,4,0,0,0,2,2,2,4,0
1750,4,2,1,1,1,Male,1,2,Education,1,1,Terrorism,Use the tax system to reward people who protect the environment,1,1,1,5,3,1,4,1,3,3,2,0,3,2,1,1,1,5,2,1,4,4,4,4,1,4,2,4,1,1,Use the tax system to reward businesses that protect the environment,1,4,5,1,34,1,4,2,White,5,NaN,4,3,2,0,1,0,3,4,6,6,4
146,4,4,2,1,1,Male,2,3,The economy,4,1,The environment,Use the tax system to reward people who protect the environment,1,0,3,4,4,4,3,4,2,2,2,0,2,2,3,2,2,4,4,3,2,2,4,4,0,4,2,4,2,1,Use the tax system to reward businesses that protect the environment,2,4,4,2,20,1,2,4,White,4,7,4,4,2,0,1,3,0,0,0,2,8
147,2,4,2,1,1,Female,NaN,4,Health care,2,0,Education,More information and education for people about the advantages of protecting the environment,NaN,0,4,2,3,2,3,4,4,2,4,0,2,4,4,1,1,2,2,3,2,4,2,2,0,5,2,5,1,1,More information and education for businesses about the advantages of protecting the environment,1,NaN,3,2,70,2,1,1,Other,3,4,4,3,1,1,2,1,4,3,1,1,6
144,2,2,2,2,3,Male,3,2,Immigration,1,0,Education,Use the tax system to reward people who protect the environment,2,0,2,5,4,2,2,4,3,2,4,0,4,2,3,3,3,2,4,1,1,2,2,2,0,2,3,4,2,1,Use the tax system to reward businesses that protect the environment,2,4,5,1,48,1,2,4,White,4,3,4,2,2,0,0,0,2,2,2,4,0
619,2,3,3,2,2,Male,3,2,The economy,1,0,Terrorism,More information and education for people about the advantages of protecting the environment,1,0,1,4,3,1,3,1,4,4,3,0,3,3,3,4,3,4,3,3,2,3,3,3,0,2,3,4,3,1,More information and education for businesses about the advantages of protecting the environment,2,3,4,2,56,2,3,2,White,4,4,3,4,4,1,0,2,2,5,3,3,5
1170,2,2,2,1,2,Female,3,3,The economy,2,0,Terrorism,More information and education for people about the advantages of protecting the environment,1,0,2,3,5,2,2,3,4,3,4,0,2,3,3,3,3,3,4,3,4,2,3,2,0,3,3,3,2,1,Use the tax system to reward businesses that protect the environment,2,5,3,1,58,2,3,2,White,3,2,4,3,4,1,0,2,4,5,3,3,3
1270,4,5,2,1,2,Male,3,1,Health care,1,1,Education,Use the tax system to reward people who protect the environment,1,0,2,1,5,3,3,2,4,3,4,0,4,5,1,1,1,1,4,2,2,4,3,4,1,4,3,5,2,1,Heavy fines for businesses that damage the environment,1,2,1,2,27,1,2,1,White,4,6,4,2,2,0,1,3,0,0,0,7,2
613,2,2,3,1,2,Male,3,1,The economy,2,1,Health care,More information and education for people about the advantages of protecting the environment,2,1,3,2,4,2,3,2,4,2,4,0,2,2,1,3,3,2,2,1,2,3,3,2,1,3,1,4,2,1,Use the tax system to reward businesses that protect the environment,2,2,2,1,77,1,3,4,White,2,6,4,4,1,1,2,1,1,1,4,5,6
610,1,1,3,1,2,Female,1,2,Health care,2,0,Terrorism,More information and education for people about the advantages of protecting the environment,3,0,2,3,5,4,1,1,5,2,2,0,4,1,2,1,1,1,5,3,5,2,3,5,0,5,2,1,NaN,2,More information and education for businesses about the advantages of protecting the environment,2,2,1,2,23,3,5,5,Black,3,6,5,4,2,0,1,3,0,0,0,2,8
1273,2,3,2,2,2,Male,3,5,Health care,1,0,Education,More information and education for people about the advantages of protecting the environment,1,0,1,2,4,4,3,1,2,2,2,0,2,3,1,3,2,2,2,1,3,4,4,3,1,1,4,4,2,1,Use the tax system to reward businesses that protect the environment,2,3,5,1,19,2,2,1,White,3,6,3,3,3,0,1,3,0,0,0,2,8
1274,2,2,3,3,2,Female,3,3,The economy,2,0,Education,Heavy fines for people who damage the environment,2,0,4,4,3,2,3,2,3,3,4,0,2,2,4,3,2,3,4,3,2,3,2,2,0,1,2,4,3,2,More information and education for businesses about the advantages of protecting the environment,3,3,4,2,86,2,2,3,White,3,2,3,3,3,1,2,1,1,1,4,5,1
617,1,2,3,3,3,Male,2,3,The economy,1,0,Education,Use the tax system to reward people who protect the environment,NaN,0,2,2,3,2,4,3,4,3,4,0,2,3,2,4,2,2,4,3,3,3,4,2,1,1,4,4,3,3,Use the tax system to reward businesses that protect the environment,1,4,3,2,39,2,2,3,White,3,5,4,3,4,0,0,0,3,4,5,6,4
1179,2,3,NaN,2,1,Male,3,3,Health care,1,0,Education,More information and education for people about the advantages of protecting the environment,1,0,1,5,4,3,1,1,4,3,4,0,3,2,1,2,3,3,3,1,3,3,3,3,0,5,4,3,2,NaN,Heavy fines for businesses that damage the environment,1,NaN,5,1,25,1,1,4,White,3,2,4,1,5,0,1,3,0,0,0,2,8
149,4,4,3,2,1,Male,3,4,Immigration,3,0,Education,Use the tax system to reward people who protect the environment,2,0,3,5,4,4,3,3,4,1,4,0,1,4,4,1,1,5,4,3,5,4,4,4,0,4,4,4,1,2,Use the tax system to reward businesses that protect the environment,2,4,4,2,35,2,4,4,White,5,1,4,4,4,0,1,0,3,4,6,6,4
1007,2,2,3,2,1,Male,4,1,The economy,1,0,Poverty,More information and education for people about the advantages of protecting the environment,1,0,4,2,3,2,3,2,4,4,4,0,4,2,3,3,3,2,4,4,5,4,3,2,0,3,4,5,3,2,More information and education for businesses about the advantages of protecting the environment,NaN,5,4,2,72,2,2,2,White,2,4,4,3,3,1,2,1,1,3,1,1,6
46,2,4,2,1,1,Male,4,2,Health care,2,1,Crime,Use the tax system to reward people who protect the environment,1,0,2,4,3,2,3,NaN,3,3,2,0,3,3,2,3,3,2,4,2,3,4,2,4,1,4,2,5,1,1,Heavy fines for businesses that damage the environment,2,3,2,1,20,1,3,4,Other,4,4,5,4,2,0,1,3,0,0,0,2,8
1887,2,2,2,1,2,Female,2,2,Health care,2,1,Education,More information and education for people about the advantages of protecting the environment,2,0,3,2,5,4,4,4,4,4,4,0,2,4,2,2,2,2,4,3,4,2,4,2,0,4,2,2,2,1,More information and education for businesses about the advantages of protecting the environment,2,4,2,1,27,1,2,4,Black,2,2,4,4,2,0,1,3,0,0,0,7,2
710,2,2,2,1,1,Female,1,2,Health care,2,0,The environment,More information and education for people about the advantages of protecting the environment,1,0,1,2,5,1,3,2,4,1,2,0,2,2,1,3,1,2,2,2,2,2,4,2,0,4,2,2,2,1,More information and education for businesses about the advantages of protecting the environment,1,2,1,1,54,NaN,2,4,Black,4,2,5,3,NaN,1,0,2,2,5,2,4,5
1883,2,2,2,1,3,Male,1,4,The economy,1,0,Poverty,More information and education for people about the advantages of protecting the environment,1,0,1,5,1,1,3,1,2,1,1,0,2,3,1,4,2,5,2,1,4,3,4,2,0,3,4,4,2,2,Use the tax system to reward businesses that protect the environment,1,2,5,2,41,2,4,2,Black,2,4,5,5,5,0,0,0,3,4,5,0,4
513,2,2,2,1,2,Female,3,2,Education,2,1,Health care,More information and education for people about the advantages of protecting the environment,2,1,3,4,5,2,3,4,4,2,4,0,2,3,3,2,2,2,2,4,4,2,2,2,0,2,2,3,2,1,Heavy fines for businesses that damage the environment,2,2,3,2,59,1,2,3,White,2,5,4,3,2,1,0,2,4,5,3,3,3
1881,2,2,1,1,1,Male,2,5,Health care,2,0,Education,Heavy fines for people who damage the environment,1,0,3,1,5,2,1,2,4,1,2,0,5,1,2,1,1,1,5,2,5,4,5,4,0,5,4,4,1,1,Heavy fines for businesses that damage the environment,1,2,4,1,53,NaN,5,4,Black,5,2,5,1,5,1,0,2,2,2,2,4,5
1285,NaN,2,2,2,2,Male,3,2,The economy,1,0,Health care,NaN,1,0,2,4,5,1,1,2,1,3,3,0,2,NaN,1,2,2,4,4,1,4,4,2,4,0,NaN,4,4,3,1,Use the tax system to reward businesses that protect the environment,1,4,4,2,53,1,2,4,White,4,5,5,3,NaN,1,0,2,2,2,2,4,5
1284,2,4,4,2,3,Male,2,2,The environment,1,NaN,Education,More information and education for people about the advantages of protecting the environment,2,0,4,5,5,1,2,1,5,5,1,0,2,3,3,3,2,2,2,4,4,2,4,4,0,2,5,3,4,1,More information and education for businesses about the advantages of protecting the environment,2,5,1,2,78,1,2,4,White,5,1,5,3,2,1,2,1,1,1,4,5,1
1287,1,1,3,2,2,Male,4,1,The economy,1,0,Crime,Use the tax system to reward people who protect the environment,1,0,1,5,3,2,2,2,4,2,1,0,3,4,1,4,4,5,4,2,2,1,4,1,0,1,5,1,2,2,Use the tax system to reward businesses that protect the environment,NaN,5,3,2,29,3,1,1,White,3,2,3,3,4,0,1,3,0,0,6,7,2
1737,3,3,4,2,2,Male,3,1,Immigration,1,0,Terrorism,Heavy fines for people who damage the environment,2,0,2,5,4,2,3,2,4,4,4,0,1,4,1,3,3,2,4,3,2,4,3,3,0,1,3,2,3,1,Heavy fines for businesses that damage the environment,2,5,2,NaN,82,2,1,4,White,5,3,5,4,2,1,2,1,1,1,4,5,1
1280,1,2,4,NaN,2,Male,4,1,The economy,1,0,Education,More information and education for people about the advantages of protecting the environment,1,0,1,4,2,2,1,2,2,5,4,0,4,2,1,4,4,4,4,1,2,2,2,2,0,3,4,NaN,2,1,Use the tax system to reward businesses that protect the environment,3,4,4,1,44,3,1,2,White,4,4,4,5,4,0,0,0,3,2,5,0,0
1283,2,1,4,2,2,Male,4,1,None of these,2,0,The economy,More information and education for people about the advantages of protecting the environment,2,0,2,4,3,2,4,2,4,5,4,0,4,2,1,3,3,3,4,3,2,2,2,4,1,2,2,3,3,1,Use the tax system to reward businesses that protect the environment,2,2,3,1,72,1,2,4,White,5,4,4,3,4,1,2,1,1,3,1,1,6
1282,2,2,2,2,2,Female,2,3,The economy,2,0,Health care,Use the tax system to reward people who protect the environment,2,0,2,3,4,4,2,2,3,2,3,0,2,2,3,2,1,2,3,3,4,3,3,2,0,4,2,NaN,2,1,NaN,1,3,4,2,44,1,3,3,White,3,4,4,3,2,0,0,0,3,2,5,0,0
946,2,3,2,1,2,Female,3,3,Terrorism,1,0,The environment,More information and education for people about the advantages of protecting the environment,1,0,2,2,3,3,3,2,4,3,4,0,2,3,1,3,2,2,3,2,4,3,3,3,0,3,4,3,3,2,Use the tax system to reward businesses that protect the environment,1,4,3,1,68,NaN,3,3,White,3,4,4,3,4,1,2,1,4,3,1,1,6
515,2,2,2,1,1,Male,4,2,The economy,1,1,Health care,Use the tax system to reward people who protect the environment,1,0,3,3,5,2,3,1,4,3,4,0,2,4,2,2,1,1,2,3,2,4,4,2,1,2,2,4,2,1,Use the tax system to reward businesses that protect the environment,1,4,3,1,59,1,2,2,White,4,4,4,3,2,1,0,2,4,5,3,3,3
945,2,4,4,3,2,Male,3,4,Health care,1,0,Education,Use the tax system to reward people who protect the environment,2,0,3,4,3,3,2,1,4,3,2,0,3,3,1,4,4,4,4,1,2,4,2,4,0,2,4,2,4,2,Use the tax system to reward businesses that protect the environment,3,2,3,1,31,2,3,3,White,3,4,4,2,2,0,1,3,0,0,6,7,2
1289,4,2,2,1,1,Male,1,4,The economy,2,0,Terrorism,Heavy fines for people who damage the environment,NaN,0,4,2,5,2,4,4,5,1,3,0,2,2,2,2,2,2,5,3,4,4,4,2,0,4,4,4,1,1,Heavy fines for businesses that damage the environment,1,5,2,2,52,3,2,5,White,4,2,4,5,4,1,0,2,2,2,2,4,5
1472,3,1,1,1,2,Female,2,1,Health care,4,1,The economy,More information and education for people about the advantages of protecting the environment,1,1,3,2,5,1,3,4,5,1,4,1,2,4,3,2,1,1,4,4,4,2,1,1,1,5,2,5,1,1,More information and education for businesses about the advantages of protecting the environment,1,2,2,2,31,1,4,4,White,2,7,5,5,2,0,1,3,0,0,6,7,2
1470,2,5,3,1,2,Male,4,3,Education,1,0,The economy,More information and education for people about the advantages of protecting the environment,1,0,2,2,4,4,2,3,4,1,4,0,3,2,1,3,2,2,NaN,2,2,4,2,5,0,3,2,5,2,1,Use the tax system to reward businesses that protect the environment,1,4,3,2,31,1,2,4,White,2,5,4,4,2,0,1,3,0,0,6,7,2
1578,2,1,2,2,1,Male,3,2,The economy,1,1,Poverty,Use the tax system to reward people who protect the environment,2,0,2,4,4,2,3,3,4,2,3,0,2,3,2,3,2,4,4,3,3,2,3,3,1,4,2,4,2,1,Use the tax system to reward businesses that protect the environment,1,4,4,2,42,1,3,4,White,3,6,4,3,4,0,0,0,3,4,5,0,4
689,2,2,1,1,1,Female,1,2,Education,3,1,Health care,More information and education for people about the advantages of protecting the environment,1,1,3,2,5,3,4,4,4,2,4,0,2,2,2,2,1,2,4,3,4,2,2,2,1,3,2,4,1,1,More information and education for businesses about the advantages of protecting the environment,2,3,2,1,72,1,2,4,White,2,5,5,4,2,1,2,1,1,3,1,1,6
1477,4,4,2,2,1,Female,4,1,Poverty,NaN,0,Health care,Use the tax system to reward people who protect the environment,1,0,4,5,1,2,3,3,2,3,4,1,4,4,3,1,2,5,4,4,4,2,5,5,0,2,4,4,2,1,Use the tax system to reward businesses that protect the environment,1,NaN,5,2,67,2,4,4,Black,5,7,4,1,4,1,2,1,4,3,1,1,7
1356,4,2,3,2,1,Female,1,NaN,Terrorism,1,0,Education,More information and education for people about the advantages of protecting the environment,1,0,3,2,4,1,NaN,3,5,1,2,0,2,5,3,2,1,1,2,2,4,3,4,4,0,4,2,5,1,NaN,More information and education for businesses about the advantages of protecting the environment,3,4,1,2,38,1,4,4,Other,4,2,NaN,NaN,5,0,1,0,3,4,5,6,4
1190,1,2,1,3,2,Male,4,2,Terrorism,4,0,The economy,Heavy fines for people who damage the environment,2,0,4,5,5,1,3,4,3,2,4,0,2,2,3,3,2,5,4,4,4,1,3,2,0,2,4,4,1,1,Heavy fines for businesses that damage the environment,1,2,5,2,67,1,2,4,White,5,4,4,4,3,1,2,1,4,3,1,1,7
685,2,4,3,2,2,Female,2,3,Education,2,0,The economy,Use the tax system to reward people who protect the environment,1,0,3,1,5,2,1,1,3,1,1,0,2,3,1,3,2,2,3,1,3,4,4,3,0,3,4,2,2,1,Heavy fines for businesses that damage the environment,1,3,1,1,55,2,2,4,White,4,4,4,1,4,1,0,2,2,5,3,4,5
1478,2,2,2,1,2,Male,3,2,Health care,2,0,Terrorism,More information and education for people about the advantages of protecting the environment,2,0,3,3,2,2,2,1,4,3,4,0,2,3,1,3,2,3,4,1,4,4,2,2,0,2,3,4,2,2,More information and education for businesses about the advantages of protecting the environment,2,4,3,2,69,NaN,2,2,White,4,4,4,3,NaN,1,2,1,4,3,1,1,6
686,2,2,1,1,1,Female,1,2,Health care,2,0,Education,More information and education for people about the advantages of protecting the environment,1,0,3,2,3,2,3,3,4,3,3,0,2,3,3,3,2,2,4,3,2,2,3,3,0,4,3,2,1,1,Heavy fines for businesses that damage the environment,2,2,3,3,42,2,3,4,White,3,3,4,3,3,0,0,0,3,4,5,0,4
681,2,4,2,1,2,Female,3,4,The economy,4,0,Poverty,More information and education for people about the advantages of protecting the environment,3,0,2,4,3,1,2,1,2,1,3,0,4,3,1,3,2,4,3,1,2,3,3,3,0,2,2,2,1,2,More information and education for businesses about the advantages of protecting the environment,1,2,4,2,22,1,2,3,White,4,7,4,2,4,0,1,3,0,0,0,2,8
680,2,2,2,1,NaN,Female,1,3,The environment,1,0,The economy,More information and education for people about the advantages of protecting the environment,NaN,0,4,3,5,2,3,3,4,1,4,0,3,NaN,1,2,1,2,4,2,4,2,2,2,0,4,2,4,2,1,Heavy fines for businesses that damage the environment,1,NaN,2,2,39,1,2,NaN,White,2,4,4,3,2,0,0,0,3,4,5,6,4
683,2,4,3,1,1,Female,3,2,Education,1,0,Crime,Use the tax system to reward people who protect the environment,2,0,2,4,4,3,3,1,2,2,2,0,2,4,2,1,2,3,4,2,2,NaN,3,2,0,4,2,2,3,1,More information and education for businesses about the advantages of protecting the environment,3,3,4,2,21,2,2,2,White,2,5,2,2,1,0,1,3,0,0,0,2,8
682,3,2,3,1,2,Male,1,4,Education,1,1,Health care,Use the tax system to reward people who protect the environment,NaN,0,3,4,4,1,3,3,2,2,2,0,4,2,2,3,2,3,4,2,2,1,3,2,0,4,4,3,1,2,Heavy fines for businesses that damage the environment,1,4,2,2,25,1,2,2,White,4,4,4,4,5,0,1,3,0,0,0,2,8
1306,1,2,3,3,3,Male,5,2,Education,1,0,The economy,Heavy fines for people who damage the environment,2,1,1,5,4,3,3,1,4,5,3,0,2,3,1,3,3,4,2,1,3,3,3,3,0,2,4,4,3,3,Heavy fines for businesses that damage the environment,3,4,4,2,51,2,2,3,White,3,4,5,4,2,1,0,2,2,2,2,4,5
